objectid,identifier,title,creator,recipient,date,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,object_translation,FromThePage Slug,ID for first image
32029448,119,Lettre au duc du Chatelet,"Charles-Antoine Du Houx, Baron de Vioménil ","Louis-Marie-Florent de Lomont d'Haraucourt, marquis later duc du Châtelet",,,"Louis-Marie-Florent, duc Du Châtelet; 1727-1793;Newport, Rhode Island; Boston, Masssachusetts;Charles-Henri-Louis d'Arsac de Ternay; 1723-1780;Robert Boyle-Walsingham; 1736-1780;Mariot Arbuthnot; 1711-1794; New York ;Thomas Graves; 1725-1802;George Rodney; 1718-1792;The West Indies;Jamaica;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Charles-Henri-Louis d'Arsac de Ternay; 1723-1780;George Washington; 1732-1799;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Hudson River;Gilbert du Motier, marquis de Lafayette; 1757-1834;Charleston, South Carolina;George Washington; 1732-1799;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Long Island, New York; New York ;Henry Clinton; 1730-1795",,,,,,,French,,,manifest,https://fromthepage.com/iiif/32029448/manifest,https://fromthepage.com/image-service/32541614/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541614/full/pct:10/0/default.jpg,,/objects/transcripts/no119.md,/objects/translations/no119.md,no119,
32029449,120,Lettre au prince de Montbarrey,"Charles-Antoine Du Houx, Baron de Vioménil ","Alexandre Marie Eleonor of Saint-Mauris, count of Montbarrey, then prince of Montbarrey ",,,"Newport, Rhode Island;Brest, France;Charles-Henri-Louis d'Arsac de Ternay; 1723-1780",,,,,,,French,,,manifest,https://fromthepage.com/iiif/32029449/manifest,https://fromthepage.com/image-service/32541619/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541619/full/pct:10/0/default.jpg,,/objects/transcripts/no120.md,/objects/translations/no120.md,no120,
32029450,121,Brouillon lettre à x - Organisation défense de Newport,"Charles-Antoine Du Houx, Baron de Vioménil ",,1780-08-01,,"Boston, Masssachusetts;Mariot Arbuthnot; 1711-1794;Thomas Graves; 1725-1802;Henry Clinton; 1730-1795;George Washington; 1732-1799;Henry Clinton; 1730-1795;Newport, Rhode Island; Boston, Masssachusetts;George Washington; 1732-1799; New York ;Henry Clinton; 1730-1795;Gilbert du Motier, marquis de Lafayette; 1757-1834;George Washington; 1732-1799; New York ;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Henry Clinton; 1730-1795;Long Island, New York;Brooklyn, New York;Rhode Island","Newport, Rhode Island, USA",41.49043973,-71.31161922,,,,French,,,manifest,https://fromthepage.com/iiif/32029450/manifest,https://fromthepage.com/image-service/32541621/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541621/full/pct:10/0/default.jpg,,/objects/transcripts/no121.md,/objects/translations/no121.md,no121,
32029451,122,Brouillon lettre au duc de Coigny,"Charles-Antoine Du Houx, Baron de Vioménil ","François-Henri de Franquetot de Coigny, duc de Coigny",1780-09-18,,"Newport, Rhode Island;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Horatio Gates; 1727-1806;Camden, South Carolina;South Carolina;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Charles-Henri-Louis d'Arsac de Ternay; 1723-1780;Hartford, Connecticut ;George Washington; 1732-1799; Orangetown, New York;Hudson River;Mariot Arbuthnot; 1711-1794;Henry Clinton; 1730-1795; New York ;Guillaume-Mathieu, comte de Dumas; 1753-1837;Georges-Henri-Victor Collot; 1750-1805;François Louis Arthur Thibaut de Ménonville; 1740-1816;Benoît-Joseph de Tarlé; 1735-1797; Bouchet ;Isidore Lynch; 1755-1841;Claude Blanchard; 1742-1803 ;Louis Dominique Ethis de Corny; 1736-1790;Jacques-Pierre Orillard de Villemanzy; 1751-1830;Nathanael Greene; 1742-1786; Head ;George Washington; 1732-1799;François Jean de Beauvoir, marquis de Chastellux; 1734-1788","Newport, Rhode Island, USA",41.49043973,-71.31161922,,,,French,,,manifest,https://fromthepage.com/iiif/32029451/manifest,https://fromthepage.com/image-service/32541624/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541624/full/pct:10/0/default.jpg,,/objects/transcripts/no122.md,/objects/translations/no122.md,no122,
32029452,123,Brouillon lettre au duc de Coigny Brouillon lettre à Gribeauval -Envoi rapport revue ,"Charles-Antoine Du Houx, Baron de Vioménil ","Jean-Baptiste Vaquette de Gribeauval and François-Henri de Franquetot de Coigny, duc de Coigny",1782-01-06,,"Boston, Masssachusetts;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Louis-Philippe de Rigaud, marquis de Vaudreuil; 1724-1802;The West Indies; Baltimore, Maryland;Joseph Dieudonné de Chazelles;Burelet ; Jousserand ; Barthélémy ;Armand-Louis Gontaut, duc de Lauzun; 1747-1793;François Marie d'Aboville; 1730-1817; Nadal ; Laries ;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;François Marie d'Aboville; 1730-1817;Burelet ; Bois","Boston, Massachussets, USA",42.36027241,-71.05680734,,,,French,,,manifest,https://fromthepage.com/iiif/32029452/manifest,https://fromthepage.com/image-service/32541628/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541628/full/pct:10/0/default.jpg,,/objects/transcripts/no123.md,/objects/translations/no123.md,no123,
32029453,124,Mémoire relatif à l'arrivée du Cte de Grasse,"Charles-Antoine Du Houx, Baron de Vioménil ",,1781-08-01,,"François Joseph Paul de Grasse; 1722-1788;Phillipsburg, New York;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;Providence, Rhode Island;Newport, Rhode Island;François Joseph Paul de Grasse; 1722-1788; New York ;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;François Joseph Paul de Grasse; 1722-1788;George Washington; 1732-1799;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Phillipsburg, New York;Delaware River;George Washington; 1732-1799;François Joseph Paul de Grasse; 1722-1788;Delaware River;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Chesapeake Bay;Charleston, South Carolina;George Washington; 1732-1799;Pierre-François de Béville;Delaware River; Trenton, New Jersey;Philadelphia, Pennsylvania;Chester, Pennsylvania;François Joseph Paul de Grasse; 1722-1788;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Charleston, South Carolina;Portsmouth, Virginia;Chesapeake Bay; New York ;Charleston, South Carolina;Virginia;Charleston, South Carolina;Savannah, Georgia;François Joseph Paul de Grasse; 1722-1788; New York ;Sandy Hook, New Jersey;Long Island, New York;Kingsbridge, New York;Staten Island, New York; New York ;Hudson River;François Joseph Paul de Grasse; 1722-1788; New York",,,,,,,French,,,manifest,https://fromthepage.com/iiif/32029453/manifest,https://fromthepage.com/image-service/32541630/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541630/full/pct:10/0/default.jpg,,/objects/transcripts/no124.md,/objects/translations/no124.md,no124,
32029454,125,Mémoire relatif à l'arrivée du Cte de Grasse Brouillon lettre au duc du Chatelet ,"Charles-Antoine Du Houx, Baron de Vioménil ","Louis-Marie-Florent de Lomont d'Haraucourt, marquis later duc du Châtelet",1781-08-15,,"Phillipsburg, New York;Newport, Rhode Island;Hudson River;Newport, Rhode Island;François Joseph Paul de Grasse; 1722-1788;Saint-Domingue;François Joseph Paul de Grasse; 1722-1788; New York ;Phillipsburg, New York; New York ;Virginia;The Carolinas;Georgia;François Joseph Paul de Grasse; 1722-1788;Hudson River;François Joseph Paul de Grasse; 1722-1788;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;François Joseph Paul de Grasse; 1722-1788;Chesapeake Bay;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Head of Elk, Maryland","Philipsburg Encampment, New York, USA",41.01962571,-73.81775303,,,,French,,,manifest,https://fromthepage.com/iiif/32029454/manifest,https://fromthepage.com/image-service/32541634/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541634/full/pct:10/0/default.jpg,,/objects/transcripts/no125.md,/objects/translations/no125.md,no125,
32029455,126,Brouillon lettre au prince de Condé,"Charles-Antoine Du Houx, Baron de Vioménil ","Louis Joseph, Prince of Condé",1781-09-05,,"Philadelphia, Pennsylvania;North Castle, New York;Crompond, New York;King’s Ferry, New York ;Hudson River;Suffern’s Tavern;Pompton, New Jersey;Wippany, New Jersey;Bullion's Tavern;Somerset Court House, New Jersey;Princeton, New Jersey; Trenton, New Jersey;Delaware River;Red Lion Tavern ;Philadelphia, Pennsylvania;Chester, Pennsylvania; Wilmington, Delaware ;Head of Elk, Maryland ;François Joseph Paul de Grasse; 1722-1788;Chesapeake Bay;Ann-César de la Luzerne; 1741-1791;François Joseph Paul de Grasse; 1722-1788;James River;Gilbert du Motier, marquis de Lafayette; 1757-1834;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805; Yorktown, Virginia ;Gilbert du Motier, marquis de Lafayette; 1757-1834;Charleston, South Carolina;Head of Elk, Maryland ;Chesapeake Bay;François Joseph Paul de Grasse; 1722-1788;George Washington; 1732-1799;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Virginia;The Carolinas;William Heath; 1737-1814;Hudson River;West Point, New York;Henry Clinton; 1730-1795; New York ;Connecticut;New Jersey;Virginia;Samuel Hood; 1724-1816;Thomas Graves; 1725-1802;Sandy Hook, New Jersey;Charleston, South Carolina;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;François Joseph Paul de Grasse; 1722-1788;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Virginia;Charleston, South Carolina;François Joseph Paul de Grasse; 1722-1788;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;Newport, Rhode Island;Chesapeake Bay;François Joseph Paul de Grasse; 1722-1788;Ann-César de la Luzerne; 1741-1791","Philadelphia, Pennsylvania, USA",39.95446916,-75.1792211,,,,French,,,manifest,https://fromthepage.com/iiif/32029455/manifest,https://fromthepage.com/image-service/32541637/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541637/full/pct:10/0/default.jpg,,/objects/transcripts/no126.md,/objects/translations/no126.md,no126,
32029456,127,A traiter avec l'intendant,"Charles-Antoine Du Houx, Baron de Vioménil ",,1781-09-18,,"Annapolis, Maryland;Pierre-François de Béville; Williamsburg, Virginia;François Joseph Paul de Grasse; 1722-1788;Virginia;Jeremiah Wadsworth; 1743-1804; Dauré ;Alexandria, Virginia",,,,,,,French,,,manifest,https://fromthepage.com/iiif/32029456/manifest,https://fromthepage.com/image-service/32541640/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541640/full/pct:10/0/default.jpg,,/objects/transcripts/no127.md,/objects/translations/no127.md,no127,
32029457,128,Brouillon lettre au prince de Condé - Désertion d'Arnold,"Charles-Antoine Du Houx, Baron de Vioménil ","Louis Joseph, Prince of Condé",,,"Louis Joseph, Prince of Condé; 1736-1818;Luc Urbain du Bouëxic de Guichen; 1712-1790;George Rodney; 1718-1792; New York ;Mariot Arbuthnot; 1711-1794;Rhode Island;Newport, Rhode Island;Charles-Henri-Louis d'Arsac de Ternay; 1723-1780;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Sandy Hook, New Jersey; New York",,,,,,,French,,,manifest,https://fromthepage.com/iiif/32029457/manifest,https://fromthepage.com/image-service/32541644/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541644/full/pct:10/0/default.jpg,,/objects/transcripts/no128.md,/objects/translations/no128.md,no128,
32029458,132,Lettre de Barras à Baron de Vioménil ,"Jacques-Melchior Saint-Laurent, Comte de Barras","Antoine-Charles Du Houx, Baron de Vioménil",,,"Boston, Masssachusetts;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;Antoine Charles du Houx, baron de Vioménil; 1734-1827;Newport, Rhode Island",,,,,,,French,,,manifest,https://fromthepage.com/iiif/32029458/manifest,https://fromthepage.com/image-service/32541647/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541647/full/pct:10/0/default.jpg,,/objects/transcripts/no132.md,/objects/translations/no132.md,no132,
32030679,132a,Ordre de retour en France ,"Louis Auguste de France, King Lous XVI","Antoine-Charles Du Houx, Baron de Vioménil",1783-02-24,,"Louis XVI; 1754-1793;Antoine Charles du Houx, baron de Vioménil; 1734-1827;Versailles, France;Louis XVI; 1754-1793","Versailles, Versailles, France",48.80759347,2.100656424,,,,French,,,manifest,https://fromthepage.com/iiif/32030679/manifest,https://fromthepage.com/image-service/32567523/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32567523/full/pct:10/0/default.jpg,,/objects/transcripts/no132a-jpg.md,/objects/translations/no132a-jpg.md,no132a-jpg,
32031972,134,Brouillon lettre au Mis de Castries - compliment pour nomination et CR combat du 16 mars ,"Charles-Antoine Du Houx, Baron de Vioménil ","Charles Eugène Gabriel de La Croix, marquis de Castries",1781-03-04,,"Newport, Rhode Island;Charles René Dominique Sochet Destouches; 1727-1793;Antoine Charles du Houx, baron de Vioménil; 1734-1827; de la Grandière ;Jean Isaac Chadeau de la Clocheterie; 1741-1782;Charles de Bernard de Marigny; 1740-1816;Charles René Magon de Médine; 1763-1805;Guillaume-Jacques-Constant de Liberge de Granchain; 1744-1805;Hippolyte Louis Antoine de Capellis; 1744-1813;Newport, Rhode Island;Virginia;Gilbert du Motier, marquis de Lafayette; 1757-1834;Benedict Arnold; 1740-1801;Anne-Alexandre-Marie de Montmorency-Laval, marquis de Laval; 1747-1817;Louis-Marie de Noailles; 1756-1804;Charles César de Damas d'Antigny; 1758-1829;Dominique Sheldon; 1760-1802;Jean-Fréderic de Chabannes; 1762-1836 ;Charles Malo François de Lameth; 1757-1832","Newport, Rhode Island, USA",41.49043973,-71.31161922,,,,French,,,manifest,https://fromthepage.com/iiif/32031972/manifest,https://fromthepage.com/image-service/32573037/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32573037/full/pct:10/0/default.jpg,,/objects/transcripts/no134.md,/objects/translations/no134.md,no134,
32029459,135,Lettre du Mis de Castries,"Charles Eugène Gabriel de La Croix, marquis de Castries","Antoine-Charles Du Houx, Baron de Vioménil",1781-07-15,,"Versailles, France;Charles René Dominique Sochet Destouches; 1727-1793;Chesapeake Bay;Benedict Arnold; 1740-1801;François Joseph Paul de Grasse; 1722-1788;Charles Eugène Gabriel de La Croix, marquis de Castries; 1727-1801","Versailles, Versailles, France",48.80759347,2.100656424,,,,French,,,manifest,https://fromthepage.com/iiif/32029459/manifest,https://fromthepage.com/image-service/32541650/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32541650/full/pct:10/0/default.jpg,,/objects/transcripts/no135.md,/objects/translations/no135.md,no135,
32031974,137,Lettre de M de Veimerange,Gabriel-Claude Palteau de Veimerange,"Antoine-Charles Du Houx, Baron de Vioménil",1781-10-06,,"Paris, France; Rohant ; Sérilly ; Pange ;Philippe Henri, marquis de Ségur; 1724-1801;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Benoît-Joseph de Tarlé; 1735-1797;Claude Blanchard; 1742-1803 ;Alexandre Marie Léonor de Saint-Mauris de Montbarrey, prince of Montbarrey; 1732-1796;François Joseph Paul de Grasse; 1722-1788; New York ;Brest, France;Charles Eugène Gabriel de La Croix, marquis de Castries; 1727-1801;Philippe Henri, marquis de Ségur; 1724-1801;François Joseph Paul de Grasse; 1722-1788;Benoît-Joseph de Tarlé; 1735-1797; Gabrielle Marguerite de Bourdon; 1737-1804;Dijon, France; Dombal ;Claude Blanchard; 1742-1803","Paris, Ile de France, France",48.85675965,2.351837923,,,,French,,,manifest,https://fromthepage.com/iiif/32031974/manifest,https://fromthepage.com/image-service/32573042/full/pct:30/0/default.jpg,https://fromthepage.com/image-service/32573042/full/pct:10/0/default.jpg,,/objects/transcripts/no137.md,/objects/translations/no137.md,no137,
